"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72076","add_to_cart_checkout","ui","Wed Oct 22 14:26:37 UTC 2025","passed","Wed Oct 22 14:27:49 UTC 2025","","Checkout\Checkout_fr\Klarna_checkout.spec.ts","",""
"","41933","add_to_cart_checkout","FR Checkoutsuite","Wed Oct 22 14:28:56 UTC 2025","passed","Wed Oct 22 14:29:37 UTC 2025","","Checkout\Checkout_FR\SeQura_checkout.spec.ts","",""
"","55982","Checkout_Fr_API","api","Fri Oct 24 10:03:17 UTC 2025","passed","Fri Oct 24 10:04:13 UTC 2025","","Checkout/Checkout_API/Checkout_FR_API.spec.ts","",""
"","84175","add_to_cart_checkout","DE Checkoutsuite","Wed Oct 22 14:26:37 UTC 2025","passed","Wed Oct 22 14:28:01 UTC 2025","","Checkout\Checkout_DE\KlarnaDe_Checkout.spec.ts","",""
"","87037","add_to_cart_checkout","FR Checkoutsuite","Wed Oct 22 14:29:37 UTC 2025","passed","Wed Oct 22 14:31:05 UTC 2025","","Checkout\Checkout_FR\Strip_checkout.spec.ts","",""
"","59640","add_to_cart_checkout","ui","Wed Oct 22 14:27:06 UTC 2025","passed","Wed Oct 22 14:28:05 UTC 2025","","Checkout\Checkout_fr\Scalapay_checkout.spec.ts","",""
"","44443","add_to_cart_checkout","ui","Wed Oct 22 14:27:50 UTC 2025","passed","Wed Oct 22 14:28:34 UTC 2025","","Checkout\Checkout_fr\SeQura_checkout.spec.ts","",""
"","59926","Checkout_Fr_API","Checkout_API_Suites","Fri Oct 24 10:03:17 UTC 2025","passed","Fri Oct 24 10:04:17 UTC 2025","","Checkout/Checkout_API/Checkout_FR_API.spec.ts","",""
"","89005","add_to_cart_checkout","FR Checkoutsuite","Wed Oct 22 14:26:37 UTC 2025","passed","Wed Oct 22 14:28:06 UTC 2025","","Checkout\Checkout_FR\Klarna_checkout.spec.ts","",""
"","34564","add_to_cart_checkout","IT Checkoutsuite","Wed Oct 22 14:33:38 UTC 2025","passed","Wed Oct 22 14:34:13 UTC 2025","","Checkout\Checkout_IT\SeQuraIt_checkout.spec.ts","",""
"","48810","add_to_cart_checkout","FR Checkoutsuite","Wed Oct 22 14:28:07 UTC 2025","passed","Wed Oct 22 14:28:55 UTC 2025","","Checkout\Checkout_FR\Scalapay_checkout.spec.ts","",""
"","56680","add_to_cart_checkout","DE Checkoutsuite","Wed Oct 22 14:28:46 UTC 2025","passed","Wed Oct 22 14:29:43 UTC 2025","","Checkout\Checkout_DE\StripeDe_checkout.spec.ts","",""
"","117901","add_to_cart_checkout","IT Checkoutsuite","Wed Oct 22 14:35:34 UTC 2025","passed","Wed Oct 22 14:37:32 UTC 2025","","Checkout\Checkout_IT\StripeIt_checkout.spec.ts","",""
"","41726","add_to_cart_checkout","ui","Wed Oct 22 14:28:06 UTC 2025","passed","Wed Oct 22 14:28:48 UTC 2025","","Checkout\Checkout_fr\Strip_checkout.spec.ts","",""
"","44039","add_to_cart_checkout","DE Checkoutsuite","Wed Oct 22 14:28:02 UTC 2025","passed","Wed Oct 22 14:28:46 UTC 2025","","Checkout\Checkout_DE\Scalapay_De_checkout.spec.ts","",""
"","37001","add_to_cart_checkout","IT Checkoutsuite","Wed Oct 22 14:32:59 UTC 2025","failed","Wed Oct 22 14:33:36 UTC 2025","","Checkout\Checkout_IT\ScalapayIt_checkout.spec.ts","",""
