entity_id,sku,Status
57323,maf211067000A,1
57325,maf1903980003,1
57326,maf1903980001,1
57327,maf190396000C,1
57329,maf1903930000,1
57330,maf1903920000,1
57331,maf1903910000,1
57332,maf1903900000,1
57333,maf1903880000,1
57334,maf1903860000,1
57335,maf1903850000,1
57337,maf190382000V,1
57338,maf190382000R,1
57339,maf190381000B,1
57340,maf190381000A,1
57341,maf1903800000,1
57342,maf1903790000,1
57343,maf1903780003,1
57344,maf1903780001,1
57345,maf1903760003,1
57346,maf1903760001,1
57347,maf1903750000,1
57348,maf1903740000,1
57349,maf1903730000,1
57351,maf1903670000,1
57352,maf1903660000,1
57353,maf1903640001,1
57355,maf1903610000,1
57357,maf1903410000,1
57358,maf1903400000,1
57359,maf1790410000,1
57362,maf1790380000,1
57363,maf1607690000,1
57364,maf1607680000,1
57365,maf1607670000,1
57366,maf1607660000,1
57367,maf1607650000,1
57368,maf1607640003,1
57369,maf1607640002,1
57370,maf1607640001,1
57372,maf1607620000,1
57373,maf1607610000,1
57374,maf1607600000,1
57375,maf1607590000,1
57376,maf1607580000,1
57377,maf1607570000,1
57380,maf1607560001,1
57381,maf1607550000,1
57382,maf1607540000,1
57383,maf1607530003,1
57385,maf160752000B,1
57386,maf160752000A,1
57387,maf1607510003,1
57388,maf1607510001,1
57389,maf1607500000,1
57390,maf1607490000,1
57391,maf160746000B,1
57392,maf160746000A,1
57393,maf1607360003,1
57394,maf1607350000,1
57396,maf160719000A,1
57398,maf1427000000,1
57399,maf1426560000,1
57401,maf1426040000,1
57405,maf09023200BR,1
57408,maf0661450000,1
57409,maf0661440000,1
57410,maf0661430000,1
57411,maf0661420000,1
57412,maf0661410000,1
57414,maf0661390000,1
57415,maf066138000F,1
57416,maf066138000B,1
57417,maf066137000G,1
57418,maf066137000B,1
57419,maf066136000S,1
57420,maf066136000C,1
57421,maf06613500BL,1
57422,maf066135000V,1
57423,maf066135000F,1
57424,maf066135000B,1
57425,maf06613400BL,1
57426,maf066134000V,1
57427,maf066134000F,1
57428,maf066134000B,1
57429,maf0661330000,1
57430,maf0661320000,1
57431,maf0661310000,1
57432,maf0661280000,1
57433,maf0661260000,1
57434,maf0661250000,1
57437,maf066123000B,1
57439,maf066122000R,1
57440,maf066122000G,1
57441,maf066121000C,1
57442,maf066121000B,1
57443,maf066120000G,1
57444,maf066120000F,1
57445,maf066120000C,1
57446,maf066119000R,1
57447,maf066119000C,1
57448,maf066118000V,1
57449,maf066118000C,1
57452,maf0661150000,1
57453,maf0661140000,1
57454,maf0661130000,1
