SKU;Price;LP30;id;Visibility
jyb308matress140teddy;389;;57258;4
jyb308matress160teddy;419;;57270;4
jyb308matress160lightbeige;419;;57267;4
jyb308matress140lightbeige;375;;57256;4
jyb308matress180teddy;449;;57274;4
jyb308matress140silver;369;;57257;4
jyb308matress140putty;369;;57255;4
jyb308matress160silver;399;;57269;4
jyb308matress160putty;399;;57266;4
jyb308matress180lightbeige;439;;57272;4
jyb308matress160lightgrey;399;;57268;4
2057blackcordu;489;;57162;4
lsr22175blackteddyfrabic;199;;45398;4
lf3674taupefabric;379;;53498;4
jyb308matress180silver;439;;57273;4
jyb308matress180putty;439;;57271;4
2057puttyvelvet;489;;57163;4
ct50748walnut;99;;57116;4
90EF322whitepu;175;;56760;4
vkcy20576beigevelvet;105;;57136;4
lf3489silvervelvet;449;;29333;4
yf230349;32;;54193;4
ct50748sonoma;99;;57117;4
lsr16051grisclair;79;;3441;4
gbc017puttyvelvet;115;;51905;4
dc1801black;89;;5494;4
4630lot2noisnoir;126;;3020;4
ta24150grey;175;;57051;4
ta24150oak;175;;57052;4
ta24150walnut;175;;57053;4
8557bbronzeplating;12;;8848;4
lsr20103puttyvelvet;129;;8464;4
lsr20103blackvelvet;129;;8463;4
lsr20103beigevelvet;129;;8467;4
8290brassplating;14;;8811;4
A605V1-Taupe;189;;1420;4
34932;15;;5036;4
82903bbrassplating;15;;8814;4
ld041red;19;;3970;4
SQCT40BLACK;19;;5788;4
ROCT45BLACK;19;;5796;4
g2236140white;172;;5174;4
34935;20;;5041;4
g2236180white;209;;5180;4
g2236180brown;209;;5179;4
ROCTST45BLACK;20;;5791;4
g2236160white;195;;5177;4
g2236160brown;195;;5176;4
ahf240106black;95;;57111;4
1IRIHAN;24;;42930;4
LUP003-Bleu;23;;1372;4
26289white;23;;30331;4
shy09blue;23;;6447;4
yf230043;23;;52486;4
lf33482vintage;289;;4929;4
lf33823velvetblack;299;;8110;4
LUS007-Transparent;27;;1362;4
bc1013swhitepu;27;;51931;4
bc1013sblackvelvet;27;;51932;4
yf230046;27;;52485;4
hctvwhite;27;;26896;4
hctvblack;27;;26895;4
2TENNIGHT;27;;11599;4
yf230001;27;;52497;4
maroc2tiroirsnoircarbon;27;;8480;4
RGCT120BLACK;27;;5798;4
ROCTST90BLACK;27;;5794;4
34770;29;;5040;4
2TENDRESS;30;;11618;4
AHF241789CTterrazzo;69;;57203;4
bc1013bsilvervelvet;30;;51937;4
bc1013bblackvelvet;30;;51938;4
bc1013bcreamteddyfabric;30;;51936;4
qh8985greyblackegs;30;;5614;4
AHF241791travertin;105;;57194;4
bc1013gcreamteddyfabric;32;;51933;4
bc1013gbeigevelvet;33;;51935;4
SQCT40WHITE;33;;6101;4
ROCTST45GOLD;33;;6030;4
ROCT45WHITE;33;;5946;4
ROCT45SILVER;33;;5945;4
lf3487bluevelvet;159;;14867;4
lf3487pinkvelvet;159;;14871;4
lf3487greenvelvet;159;;14868;4
lf3487darkgreyfabric;159;;14864;4
SQCT40RED;35;;6100;4
ROCTST90WHITE;35;;6050;4
ROCT90SILVER;35;;5969;4
LUS006-Transparent;35;;1361;4
ROCTST45WHITE;35;;6031;4
A6053-Rouge;299;;813;4
RGCT120RED;36;;6124;4
ROCT90WHITE;36;;5970;4
892840bk;39;;14740;4
lsr19123beigefabric;39;;6287;4
RGCT120WHITE;39;;6125;4
140vb16grey;249;;23520;4
lsr19117beigefabric;39;;5762;4
lsr19117lightgreyfabric;39;;5767;4
bbs7silver;39;;6715;4
dc5600pinkvelvet;39;;9028;4
dc5600greyvelvet;39;;9030;4
dc5600bluevelvet;39;;9029;4
1531040;39;;4136;4
msxbt1816pugrey;40;;5236;4
8055ebleu;41;;2905;4
lf0148gris;41;;4641;4
39356black;41;;24898;4
monbolytocuivre;41;;51117;4
2DENVTV;41;;11575;4
lsr19123pinkvelvet;41;;6284;4
lsr19123mintvelvet;41;;6286;4
lsr19123darkgreyfabric;41;;6288;4
29810ltoakteddybeige;70;;57321;4
