id;SKU;Price;Special_Price
15651;asr780sgn1829;33,00;24
16628;asr776hms3611;199,00;140
19696;asr942flg2132;41,00;29
22183;asr892opv1333;89,00;63
22199;asr584ttm1724;76,00;54
22229;asr521shn2201;72,00;51
22747;asr584ttm1107;100,00;70
22866;asr892opv1126;116,00;82
22933;asr892opv1508;33,00;24
23034;asr892opv1239;27,00;19
23550;asr869vel5174;1 122,00;786
24861;asr956lcs1614;206,00;145
24852;asr956lcs1613;171,00;120
25144;asr788dec4017;232,00;163
27558;asr854kln3034;267,00;187
28239;asr859ftn1704;359,00;252
36794;asr974nmb1207;170,00;119
29058;asr560are1709;590,00;413
31866;asr825blc1506;348,00;244
32347;asr867unq1047;390,00;273
32532;asr560are1412;832,00;583
34277;asr867unq1065;466,00;327
35970;asr859ftn1265;434,00;304
35891;asr521shn3231;64,00;45
36785;asr869vel8104;280,00;196
37570;asr569hln1516;710,00;497
37618;asr550arn2201;178,00;125
37569;asr505crl1703;278,00;195
38526;asr867unq1910;1 045,00;732
39774;asr550arn2976;260,00;182
41274;asr322rtc1318;328,00;230
43081;asr526shd1166;66,00;47
43142;asr942flg1851;80,00;56
43933;asr119frs1145;58,00;41
44030;asr119frs1160;87,00;61
45634;asr863sph3906;244,00;171
46162;asr974nmb1221;355,00;249
46839;asr106dnv1403;759,00;532
47494;asr845hct5404;339,00;238
47794;asr560are1107;2 093,00;1466
48913;asr560are2134;494,00;346
51272;asr506mnr1649;132,00;93
49942;asr322rtc2218;179,00;126
49553;asr552nos1478;541,00;379
53323;asr941rtn1449;46,00;33
51334;asr560are2261;1 144,00;801
52227;asr974nmb1742;308,00;216
52234;asr974nmb1771;308,00;216
52243;asr974nmb1772;308,00;216
52394;asr240chr1343;415,00;291
