id;SKU;Price;Special_Price
49088;c1564white;90;39
10565;39468copper;62;39
26895;hctvblack;29;19
26896;hctvwhite;29;19
8480;maroc2tiroirsnoircarbon;29;19
4641;lf0148gris;45;29
51117;monbolytocuivre;45;29
4941;jy18a129greyv;75;49
8811;8290brassplating;14;10
1361;LUS006-Transparent;37;25
24898;39356black;45;30
23783;39354gold;145;99
23317;140fbd12beige;289;199
1362;LUS007-Transparent;29;20
9029;dc5600bluevelvet;43;29
6125;RGCT120WHITE;40;29
23786;39362goldglass;85;59
5041;34935;20;15
8848;8557bbronzeplating;12;9
5791;ROCTST45BLACK;20;15
9211;38850ccopper;79;55
25186;39365silver;109;75
23901;39359silver;140;99
8019;1115silverpuwhite;138;99
58291;1349taupecordu;549;439
25089;buromarocboisor;188;139
5588;35117nickel;48;35
58720;vo1-ob;99;70
23785;39354silver;105;75
5796;ROCT45BLACK;19;15
5788;SQCT40BLACK;19;15
51486;c1585grey;68;49
42930;1IRIHAN;24;19
2067;7249lot2blanc;89;65
8814;82903bbrassplating;16;12
6124;RGCT120RED;39;29
9170;38857gold;79;59
57252;c50820walnut;79;59
8946;lf33821velvetpink;171;129
6315;gc1606blue;91;69
47695;42409;100;75
50287;ct100wh;71;49
51836;s0268oakcreamteddyfab;65;49
11620;2TENCHEST;59;45
26000;39398nickel;59;45
4113;c867bleufonce;59;45
8457;lsr20122bluefabric;85;65
1372;LUP003-Bleu;25;19
6031;ROCTST45WHITE;37;29
6050;ROCTST90WHITE;36;29
6100;SQCT40RED;36;29
58734;vr1bk;105;79
46542;qh83641whitepu;127;99
58728;re2-sa;189;149
58729;re2-w;189;149
58737;re4-sa;259;199
58727;re4-w;259;199
11618;2TENDRESS;32;25
32518;dc5616bluevelvet;65;50
4330;lf0136hlr68;65;50
5614;qh8985greyblackegs;33;25
51837;s0268oakblackfabric;86;50
51838;s0268oakgreyfabric;86;50
57123;vkdt50851cheneclair;65;50
8017;1115silvervelvetsilver;89;69
8943;a320greywhite;69;55
2905;8055ebleu;45;35
6288;lsr19123darkgreyfabric;45;35
6284;lsr19123pinkvelvet;45;35
4407;ect023tgsksmoke;75;59
58710;ml23-a;149;119
47696;42423;100;79
58712;vo16-ba;549;429
58711;vo16-ob;549;429
23885;39359gold;162;129
34337;me505;119;99
5739;msl011;128;99
58694;on18-w;119;99
5040;34770;31;25
5900;g38042;155;125
52017;df1503staupe;399;319
58730;on28w;159;129
58706;rl4-aa;159;129
53596;ahf240233oak;49;39
58697;ps1-w;49;39
52274;t502058whitemarble;209;169
53849;180n241beigefabric;499;399
57175;lf3821glightgreyfabric;559;449
37148;dc5606blackvelvet;84;69
3441;lsr16051grisclair;87;69
58707;rl2-aa;85;69
54195;yf230345;96;69
29339;dt2060black;169;139
6493;12183yk81618bluestripvelvet;351;279
58719;vo1-w;99;79
58310;13971sbluevelvet;215;175
6463;lsr19128silvervelvet;73;59
9020;lsr20181khakivelvet24;72;59
58708;br2-aw;90;75
8368;lsr16051velvetputty;91;75
58704;st1-aw;129;105
53843;140n241beigefabric;449;359
53844;140n241darkgrey;449;359
52015;df1501sbeige;195;159
26007;39397nickel;99;80
57055;dt2265white;203;80
58724;ct5-aa;155;129
58703;hm5-cg;80;65
57013;qh8152greyvelvet;79;65
58317;dtset1015black;399;329
2999;at8027moroccogris;311;249
8327;jh930velvetputty;205;169
6715;bbs7silver;42;35
6287;lsr19123beigefabric;40;35
58700;vs3-cga;149;125
58286;15101sgreycordu;259;215
5735;c1023blue49;55;45
1516;HB090-Argent;58;45
58696;ps1-gp;55;45
6286;lsr19123mintvelvet;45;37
58702;hm7-cg;229;189
58716;vo3-w;115;95
58732;vr1sw;115;95
57062;1556greyfabric;529;439
54193;yf230349;39;29
57170;dt2248white;79;59
58738;fr13aw;69;59
57223;tb50585travertin;69;59
43645;3lundradark;205;199
8944;lf33823velvetpink;299;259
5945;ROCT45SILVER;35;30
5946;ROCT45WHITE;35;30
6101;SQCT40WHITE;35;30
51896;gdt419white;249;209
5733;c1022grey;99;75
6474;lsr19143silvervelvet;99;75
57195;AHF241790terrazzo;68;55
8309;lsr20071beigepu47;65;55
58292;15041staupecordu;199;165
46765;lsr210471beigefur;139;119
57169;dt2296white;140;120
57187;AHF241776;152;110
11599;2TENNIGHT;29;25
28803;me005putty;145;125
52497;yf230001;29;25
52485;yf230046;35;25
57208;AHF241814sblack;155;135
58731;on28sa;159;139
57018;qh8399beigeteddy;319;279
58324;LT419180darkgreyfabric;449;419
29337;dt2060silver;160;140
57197;AHF241849DTterrazzo;145;145
6427;lf33821velvetblue;163;145
58721;vo1-ba;105;89
58312;13972sbluevelvet;349;299
57286;LT422180taupevelvet;285;249
58302;1561taupe;499;469
58287;15103sgreycordu;369;319
53841;ahf240086white;75;65
51906;gbc017blackvelvet;114;99
29317;me206beigewood;115;99
5757;msl013;115;99
58715;vo4-ba;115;99
58733;vr1sa;115;99
58735;lv17wk;111;85
58591;be1sw;203;175
58693;or2-w;199;175
58592;be1sa;205;179
5396;jh930velvetblue;199;179
5397;jh930velvetgreen;199;179
47589;dt1290blackmarble;215;189
57305;1566greyteddy;629;569
58701;vs1-cga;229;199
58319;LT419140beigefabric;480;399
58320;LT419140darkgreyfabric;399;399
58722;fr11-aw;105;85
5855;msl016;95;85
57284;LT422140kakivelvet;249;219
57280;LT422140silvervelvet;249;219
53850;180n241darkgrey;499;439
57283;LT422160silvervelvet;262;229
58713;vo4-w;109;95
4055;12181k1128noir;129;115
58574;lf3804beigecordu;415;415
58322;LT419160darkgreyfabric;415;415
47584;1279creamteddy;357;309
53507;lf3677beigeteddyfabric;549;515
